0  inf  -nan  -nan  inf  -nan  -nan
100.057  1.07918e-15  -nan  -nan  1.14522e-09  -nan  5.14223e-08
200.119  1.07918e-15  -nan  -nan  4.27508e-09  -nan  7.16583e-07
300.177  1.07918e-15  -nan  -nan  4.98615e-09  -nan  9.74782e-07
400.229  1.07918e-15  -nan  -nan  7.55659e-09  -nan  2.23887e-06
500.286  1.07918e-15  -nan  -nan  1.40142e-08  -nan  7.70037e-06
600.343  1.07918e-15  -nan  -nan  5.32253e-09  -nan  1.11074e-06
700.4  1.07918e-15  -nan  -nan  1.58453e-08  -nan  9.8441e-06
800.457  1.07918e-15  -nan  -nan  7.60581e-09  -nan  2.26813e-06
900.515  1.07918e-15  -nan  -nan  1.8057e-08  -nan  1.27841e-05
1000.57  1.07918e-15  -nan  -nan  8.89983e-09  -nan  3.10556e-06
1100.63  1.07918e-15  -nan  -nan  1.18554e-08  -nan  5.51075e-06
1200.69  1.07918e-15  -nan  -nan  1.98242e-08  -nan  1.54087e-05
1300.74  1.07918e-15  -nan  -nan  3.83347e-09  -nan  5.76186e-07
1400.8  1.07918e-15  -nan  -nan  1.05964e-08  -nan  4.40241e-06
1500.86  1.07918e-15  -nan  -nan  1.07427e-08  -nan  4.52481e-06
1600.91  1.07918e-15  -nan  -nan  1.2894e-08  -nan  6.51853e-06
1700.97  1.07918e-15  -nan  -nan  1.3769e-08  -nan  7.43334e-06
1801.03  1.07918e-15  -nan  -nan  5.26273e-09  -nan  1.08593e-06
1901.09  1.07918e-15  -nan  -nan  4.88377e-09  -nan  9.35163e-07
2001.14  1.07918e-15  -nan  -nan  2.36965e-09  -nan  2.20163e-07
2101.2  1.07918e-15  -nan  -nan  2.59746e-09  -nan  2.6453e-07
2201.26  1.07918e-15  -nan  -nan  7.36377e-10  -nan  2.12607e-08
2301.32  1.07918e-15  -nan  -nan  5.33148e-10  -nan  1.11448e-08
2401.37  1.07919e-15  -nan  -nan  2.74165e-10  -nan  2.94715e-09
2501.43  1.07919e-15  -nan  -nan  1.61579e-10  -nan  1.02365e-09
2601.49  1.07919e-15  -nan  -nan  2.87947e-10  -nan  3.25089e-09
2701.54  1.07918e-15  -nan  -nan  7.96648e-10  -nan  2.48834e-08
